material_id,pretty_formula,elements,count,density,elasticity.poisson_ratio,elasticity.K_VRH,melting_point,thermal_conductivity,radius,electronegativity,specific_heat,spacegroup.crystal_system,C11,C22,C33,C12,C13,C23,C44,C55,C66
mp-22687,BaIn4,"['Ba', 'In']","[1, 4]",6.305512224,0.25,33,543.8,69.2,1.754,0.16311972,0.2256,tetragonal,57,57,65,20,21,21,19,19,22
mp-22735,Ca2Sn,"['Ca', 'Sn']","[2, 1]",3.412530898,0.26,29,911.6933333,155.6666667,1.776666667,0.136291933,0.509333333,orthorhombic,28,61,61,17,24,28,19,26,17
mp-22795,Pb2Au,"['Pb', 'Au']","[2, 1]",12.48699085,0.4,57,846.1833333,130,1.606666667,0.205730667,0.149,tetragonal,80,71,71,49,49,49,12,13,13
mp-2283,ZrCo,"['Zr', 'Co']","[1, 1]",7.649629559,0.35,131,1948,61.5,1.79,0.1340625,0.3685,cubic,196,196,196,98,98,98,41,41,41
mp-2294,Al3Ir,"['Al', 'Ir']","[3, 1]",7.266572998,0.35,151,1384.8525,213.75,1.335,0.1753235,0.70825,hexagonal,235,235,333,185,47,47,48,48,25
mp-2322,YAl2,"['Y', 'Al']","[1, 2]",3.879200231,0.2,80,1221.98,162.3333333,1.493333333,0.1406182,0.694666667,cubic,171,171,171,34,34,34,56,56,56
mp-2323,BeCu,"['Be', 'Cu']","[1, 1]",6.201946001,0.29,142,1458.885,295,1.285,0.1480788,1.1045,cubic,183,183,183,122,122,122,121,121,121
mp-2337,HfCo2,"['Hf', 'Co']","[1, 2]",12.08938899,0.3,156,2014,74.33333333,1.706666667,0.1721532,0.352666667,cubic,247,247,247,111,111,111,79,79,79
mp-2348,Zr2Au,"['Zr', 'Au']","[2, 1]",9.786632269,0.33,119,1864.443333,122,1.953333333,0.170382467,0.230333333,tetragonal,177,177,149,75,105,105,67,67,39
mp-2349,YCd3,"['Y', 'Cd']","[1, 3]",7.346116653,0.31,56,895.415,77,1.7375,0.1432296,0.245,orthorhombic,64,89,109,49,46,28,25,38,23
mp-2354,Ti3Hg,"['Ti', 'Hg']","[3, 1]",8.138605104,0.26,119,1514.33,18.575,1.7475,0.134772775,0.42675,cubic,232,232,232,62,62,62,58,58,58
mp-2363,HfMo2,"['Hf', 'Mo']","[1, 2]",11.27480816,0.35,200,2766,100.3333333,1.96,0.1641738,0.216,cubic,278,278,278,161,161,161,75,75,75
mp-2385,TaCr2,"['Ta', 'Cr']","[1, 2]",11.33718995,0.35,242,2550,81.66666667,1.773333333,0.165730533,0.372,cubic,337,337,337,194,194,194,91,91,91
mp-2404,CaAl2,"['Ca', 'Al']","[1, 2]",2.425284826,0.21,56,993.98,223.3333333,1.433333333,0.138522633,0.817666667,cubic,110,110,110,29,29,29,42,42,42
mp-2410,SrAg5,"['Sr', 'Ag']","[1, 5]",7.702431281,0.33,59,1204.108333,364.1666667,1.74,0.142431783,0.247666667,hexagonal,84,84,114,43,43,43,22,22,21
